,srv_lat,srv_long,epoch_s,ind,BigBelly,dist
0,42.3477,-71.0617,1394027213,0,346,1055.833600362173
1,42.3235,-71.0685,1407246775,1,183,2064.287152276808
2,42.3663,-71.0496,1418716200,2,64,646.3307070120372
3,42.3828,-71.0792,1407916505,3,33,7899.668823897965
4,42.3884,-71.0019,1394605795,4,508,7733.635062168678
5,42.3817,-71.0396,1401721833,5,509,2619.693792187822
6,42.3316,-71.0535,1405701207,6,400,3763.2719888376278
7,42.3537,-71.078,1406013085,7,218,1054.2890056145188
8,42.3241,-71.0573,1409841881,8,454,1662.8617258424417
9,42.388,-71.0063,1400131201,9,508,6560.548362898011
10,42.3818,-71.0167,1406879279,10,508,3288.3326631923496
11,42.3468,-71.0936,1410872220,11,350,240.85143648874705
12,42.3431,-71.0698,1396329415,12,109,545.8444588338858
13,42.3596,-71.0658,1401804955,13,467,159.39587771227673
14,42.3774,-71.06,1405920391,14,167,3492.869488505088
15,42.388,-71.0056,1400151075,15,508,6738.1953362885715
16,42.322,-71.0566,1398436837,16,454,1342.6763975952992
17,42.3214,-71.0565,1401805231,17,454,1298.8300696402882
18,42.3611,-71.0651,1409734587,18,494,24.07022201650085
19,42.378,-71.0311,1410332102,19,508,1410.1087812947394
20,42.3515,-71.0598,1398953948,20,205,137.5156601657011
21,42.3349,-71.0348,1412771019,21,55,1509.6454847035975
22,42.3341,-71.0457,1396454685,22,400,4104.344568571512
23,42.3408,-71.0786,1400601590,23,19,214.71162897105012
24,42.3252,-71.0594,1406725271,24,454,1760.1024516160494
25,42.3227,-71.0681,1400769467,25,183,1807.2203031886947
26,42.3325,-71.0329,1395751541,26,55,1529.9234006774045
27,42.3584,-71.0699,1397041994,27,448,847.4589926702984
28,42.3286,-71.0557,1408956857,28,454,3285.8686000196076
29,42.3543,-71.0748,1412081825,29,6,1231.4298707215205
30,42.3419,-71.0759,1390565489,30,45,205.12147225739824
31,42.347,-71.0721,1417021033,31,26,367.03820205473204
32,42.3883,-71.0063,1406815707,32,508,6601.021848050791
33,42.3215,-71.0561,1402571330,33,454,1413.1489968458652
34,42.3439,-71.0883,1401724586,34,243,351.91729959489817
35,42.3343,-71.055,1410444107,35,400,2712.6567154975287
36,42.3406,-71.068,1410248490,36,127,436.65432210891316
37,42.3484,-71.0701,1395236112,37,405,573.4884247013815
38,42.3373,-71.0467,1396885471,38,400,3200.308233900454
39,42.381,-71.0168,1406819154,39,508,3263.2672553679117
40,42.3606,-71.0689,1404747227,40,130,155.02362325503293
41,42.3452,-71.0876,1405314304,41,413,227.18693862971398
42,42.3434,-71.0957,1413289325,42,354,404.7994301336459
43,42.3455,-71.0872,1406789217,43,413,73.0824228824139
44,42.325,-71.0599,1411369261,44,454,1657.1304609683102
45,42.3352,-71.0463,1406645958,45,400,3720.6739459773466
46,42.3255,-71.0602,1404828032,46,454,1822.7013316690332
47,42.3835,-71.0147,1405781492,47,508,3900.8764230790616
48,42.3476,-71.0632,1413980415,48,421,737.4827052435982
49,42.3602,-71.0635,1404742136,49,77,346.7594994464538
